"Year","Geo","State","Region","Commodity","Measure","Unit","type","Treatment","Name","ID","Value"
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," FUNGICIDE","AZOXYSTROBIN "," 128810",4700
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," FUNGICIDE","BOSCALID "," 128008",500
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," FUNGICIDE","CHLOROTHALONIL "," 81901",2900
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," FUNGICIDE","COPPER HYDROXIDE "," 23401",100
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," FUNGICIDE","FENAMIDONE "," 46679",1400
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," FUNGICIDE","MANCOZEB "," 14504",6500
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," FUNGICIDE","MANDIPROPAMIDE TECHN "," 36602",600
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," FUNGICIDE","PENTHIOPYRAD "," 90112",700
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," FUNGICIDE","PYRACLOSTROBIN "," 99100",1300
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," FUNGICIDE","SULFUR "," 77501",10400
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," FUNGICIDE","TOTAL)",NA,37400
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," HERBICIDE","BENSULIDE "," 9801",33500
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," HERBICIDE","CLETHODIM "," 121011",1300
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," HERBICIDE","DCPA "," 78701",78000
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," HERBICIDE","NAPROPAMIDE "," 103001",4500
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," HERBICIDE","OXYFLUORFEN "," 111601",11500
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," HERBICIDE","TOTAL)",NA,135100
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," HERBICIDE","TRIFLURALIN "," 36101",4500
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","ACETAMIPRID "," 99050",100
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","BETA-CYFLUTHRIN "," 118831",200
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","BIFENTHRIN "," 128825",1700
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","BUPROFEZIN "," 275100",1800
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","CHLORANTRANILIPROLE "," 90100",1300
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","CLOTHIANIDIN "," 44309",1500
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","CYANTRANILIPROLE","90098",600
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","DIMETHOATE "," 35001",1700
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","DINOTEFURAN "," 44312",2200
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","ESFENVALERATE "," 109303",1300
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","FLUBENDIAMIDE "," 27602",1000
