"kind","name","num"
" HERBICIDE","PARAQUAT "," 61601"
" INSECTICIDE","ABAMECTIN "," 122804"
" INSECTICIDE","BETA-CYFLUTHRIN "," 118831"
" INSECTICIDE","BIFENTHRIN "," 128825"
" INSECTICIDE","CHLORANTRANILIPROLE "," 90100"
" INSECTICIDE","CHLORPYRIFOS "," 59101"
" INSECTICIDE","CYFLUTHRIN "," 128831"
" INSECTICIDE","EMAMECTIN BENZOATE "," 122806"
" INSECTICIDE","ESFENVALERATE "," 109303"
" INSECTICIDE","IMIDACLOPRID "," 129099"
" INSECTICIDE","LAMBDA-CYHALOTHRIN "," 128897"
" INSECTICIDE","METHOMYL "," 90301"
" INSECTICIDE","NALED "," 34401"
" INSECTICIDE","OXYDEMETON-METHYL "," 58702"
" INSECTICIDE","PERMETHRIN "," 109701"
" INSECTICIDE","THIAMETHOXAM","60109"
" INSECTICIDE","ZETA-CYPERMETHRIN "," 129064"
" OTHER","DICHLOROPROPENE "," 29001"
" INSECTICIDE","DIAZINON "," 57801"
" INSECTICIDE","DIMETHOATE "," 35001"
" INSECTICIDE","DISULFOTON "," 32501"
" INSECTICIDE","FENPROPATHRIN "," 127901"
" INSECTICIDE","CYPERMETHRIN "," 109702"
" HERBICIDE","PRONAMIDE "," 101701"
" INSECTICIDE","DIFLUBENZURON "," 108201"
" INSECTICIDE","GAMMA-CYHALOTHRIN "," 128807"
" INSECTICIDE","METHAMIDOPHOS "," 101201"
" INSECTICIDE","THIODICARB "," 114501"
