"","year","avg_ST"
"1",1988,4.57298050139276
"2",1989,4.81514285714286
"3",1990,4.94635761589404
"4",1991,3.26355555555556
"5",1992,4.77103064066852
"6",1993,4.86028985507246
"7",1994,4.60739436619718
"8",1995,5.42371794871795
"9",1996,4.11714285714286
"10",1997,5.4867816091954
"11",1998,4.48794117647059
"12",1999,4.1359756097561
"13",2000,4.63333333333333
"14",2001,3.50434782608696
"15",2002,6.37424242424242
"16",2003,5.77032967032967
"17",2004,5.62362637362637
"18",2005,5.24258241758242
"19",2006,5.11988950276243
"20",2007,3.23603238866397
"21",2008,4.82216066481994
"22",2009,2.93116279069767
"23",2010,3.0027027027027
"24",2011,2.57179487179487
"25",2012,4.78664269911504
"26",2013,5.09695465077789
"27",2014,8.76538461538462
"28",2015,5.88571428571429
"29",2016,6.28410958904109
"30",2017,6.13333333333333
